FirstName,Initials,Lastname,Username,Email,StreetAddress,City,ZipCode,State,Department,Telephone,JobTitle,Company,OU
Max,MF,Fraser,Max.Fraser,Max.Fraser@exoip.com,21 Baker St,London,NW1 6XE,,IT,+44123456780,Engineer,EXOIP,"OU=IT,OU=Users,OU=Company,DC=gotham,DC=local"
Piers,PB,Bower,Piers.Bower,piers.bower@exoip.com,21 Baker St,London,NW1 6XE,,IT,+44123456781,Manager,EXOIP,"OU=IT,OU=Users,OU=Company,DC=gotham,DC=local"
Kylie,KD,Davidson,Kylie.Davidson,Kylie.Davidson@exoip.com,21 Baker St,London,NW1 6XE,,IT,+44123456782,Engineer,EXOIP,"OU=IT,OU=Users,OU=Company,DC=gotham,DC=local"
Richard,RG,Grant,richard.grant,richard.grant@exoip.com,21 Baker St,London,NW1 6XE,,IT,+44123456783,Teamleader,EXOIP,"OU=IT,OU=Users,OU=Company,DC=gotham,DC=local"
Boris,BC,Campbell,Boris.Campbell,boris.Campbell@exoip.com,21 Baker St,London,NW1 6XE,,IT,+44123456784,Engineer,EXOIP,"OU=IT,OU=Users,OU=Company,DC=gotham,DC=local"
Nicholas,NM,Murray,Nicholas.Murray,Nicholas.Murray@exoip.com,21 Baker St,London,NW1 6XE,,IT,+44123456785,Manager,EXOIP,"OU=IT,OU=Users,OU=Company,DC=gotham,DC=local"
Leonard,LC,Clark,Leonard.Clark,Leonard.Clark@exoip.com,21 Baker St,London,NW1 6XE,,IT,+44123456786,Engineer,EXOIP,"OU=IT,OU=Users,OU=Company,DC=gotham,DC=local"
Ruth,RD,Dickens,Ruth.Dickens,Ruth.Dickens@exoip.com,21 Baker St,London,NW1 6XE,,IT,+44123456787,Engineer,EXOIP,"OU=IT,OU=Users,OU=Company,DC=gotham,DC=local"
Jonathan,JF,Fisher,Jonathan.Fisher,Johnathan.Fisher@exoip.com,21 Baker St,London,NW1 6XE,,IT,+44123456788,Engineer,EXOIP,"OU=IT,OU=Users,OU=Company,DC=gotham,DC=local"
Zoë,ZR,Rees,Zoe.Rees,Zoe.Rees@exoip.com,21 Baker St,London,NW1 6XE,,IT,+44123456789,Engineer,EXOIP,"OU=IT,OU=Users,OU=Company,DC=gotham,DC=local"
